Trace File,Cache Size (KB),Block Size (B),Policy,Hit Rate (%),CPI
A-10_new_1.5_a.pdf.trc,8,8,RR,91.0432,4.40
A-10_new_1.5_a.pdf.trc,8,8,RND,91.0527,4.40
A-10_new_1.5_a.pdf.trc,8,16,RR,93.9666,4.79
A-10_new_1.5_a.pdf.trc,8,16,RND,93.9459,4.80
A-10_new_1.5_a.pdf.trc,8,64,RR,96.2993,6.85
A-10_new_1.5_a.pdf.trc,8,64,RND,96.2675,6.88
A-10_new_1.5_a.pdf.trc,64,8,RR,95.7982,3.89
A-10_new_1.5_a.pdf.trc,64,8,RND,95.7770,3.90
A-10_new_1.5_a.pdf.trc,64,16,RR,97.4125,4.03
A-10_new_1.5_a.pdf.trc,64,16,RND,97.3992,4.03
A-10_new_1.5_a.pdf.trc,64,64,RR,98.7995,4.55
A-10_new_1.5_a.pdf.trc,64,64,RND,98.7711,4.58
A-10_new_1.5_a.pdf.trc,256,8,RR,96.1966,3.85
A-10_new_1.5_a.pdf.trc,256,8,RND,96.1989,3.85
A-10_new_1.5_a.pdf.trc,256,16,RR,97.7390,3.95
A-10_new_1.5_a.pdf.trc,256,16,RND,97.7390,3.95
A-10_new_1.5_a.pdf.trc,256,64,RR,99.0839,4.29
A-10_new_1.5_a.pdf.trc,256,64,RND,99.0836,4.29
A-10_new_1.5_a.pdf.trc,1024,8,RR,96.2066,3.85
A-10_new_1.5_a.pdf.trc,1024,8,RND,96.2066,3.85
A-10_new_1.5_a.pdf.trc,1024,16,RR,97.7496,3.95
A-10_new_1.5_a.pdf.trc,1024,16,RND,97.7496,3.95
A-10_new_1.5_a.pdf.trc,1024,64,RR,99.1056,4.27
A-10_new_1.5_a.pdf.trc,1024,64,RND,99.1056,4.27
A-9_new_trunk1.trc,8,8,RR,86.8335,4.90
A-9_new_trunk1.trc,8,8,RND,86.7879,4.91
A-9_new_trunk1.trc,8,16,RR,91.2486,5.47
A-9_new_trunk1.trc,8,16,RND,91.2590,5.47
A-9_new_trunk1.trc,8,64,RR,95.0347,8.15
A-9_new_trunk1.trc,8,64,RND,94.8978,8.28
A-9_new_trunk1.trc,64,8,RR,93.5899,4.17
A-9_new_trunk1.trc,64,8,RND,93.5920,4.17
A-9_new_trunk1.trc,64,16,RR,96.0508,4.38
A-9_new_trunk1.trc,64,16,RND,96.0294,4.39
A-9_new_trunk1.trc,64,64,RR,98.1094,5.26
A-9_new_trunk1.trc,64,64,RND,98.1640,5.21
A-9_new_trunk1.trc,256,8,RR,93.9045,4.14
A-9_new_trunk1.trc,256,8,RND,93.9072,4.14
A-9_new_trunk1.trc,256,16,RR,96.3992,4.30
A-9_new_trunk1.trc,256,16,RND,96.4020,4.30
A-9_new_trunk1.trc,256,64,RR,98.5560,4.84
A-9_new_trunk1.trc,256,64,RND,98.5490,4.85
A-9_new_trunk1.trc,1024,8,RR,93.9127,4.14
A-9_new_trunk1.trc,1024,8,RND,93.9127,4.14
A-9_new_trunk1.trc,1024,16,RR,96.4130,4.30
A-9_new_trunk1.trc,1024,16,RND,96.4130,4.30
A-9_new_trunk1.trc,1024,64,RR,98.5767,4.82
A-9_new_trunk1.trc,1024,64,RND,98.5767,4.82
Corruption2.trc,8,8,RR,93.2051,4.24
Corruption2.trc,8,8,RND,93.1405,4.25
Corruption2.trc,8,16,RR,95.2737,4.58
Corruption2.trc,8,16,RND,95.2194,4.60
Corruption2.trc,8,64,RR,97.4909,5.87
Corruption2.trc,8,64,RND,97.4488,5.91
Corruption2.trc,64,8,RR,96.2664,3.91
Corruption2.trc,64,8,RND,96.2768,3.91
Corruption2.trc,64,16,RR,97.5044,4.07
Corruption2.trc,64,16,RND,97.5101,4.07
Corruption2.trc,64,64,RR,99.0105,4.43
Corruption2.trc,64,64,RND,99.0050,4.43
Corruption2.trc,256,8,RR,96.5792,3.87
Corruption2.trc,256,8,RND,96.5783,3.87
Corruption2.trc,256,16,RR,97.7717,4.01
Corruption2.trc,256,16,RND,97.7715,4.01
Corruption2.trc,256,64,RR,99.2001,4.25
Corruption2.trc,256,64,RND,99.2012,4.25
Corruption2.trc,1024,8,RR,96.5847,3.87
Corruption2.trc,1024,8,RND,96.5847,3.87
Corruption2.trc,1024,16,RR,97.7805,4.01
Corruption2.trc,1024,16,RND,97.7807,4.01
Corruption2.trc,1024,64,RR,99.2182,4.23
Corruption2.trc,1024,64,RND,99.2182,4.23
A-9_new_1.5.pdf.trc,8,8,RR,87.9292,4.83
A-9_new_1.5.pdf.trc,8,8,RND,87.8611,4.84
